CNAE;Ano;Quantidade total
Beneficiamento de arroz;2009;1
Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;2009;4
Britamento de pedras, exceto associado à extração;2009;1
Cabeleireiros, manicure e pedicure;2009;312
Cantinas - serviços de alimentação privativos;2009;34
Captação, tratamento e distribuição de água;2009;1
Carga e descarga;2009;28
Casas de bingo;2009;1
Casas de festas e eventos;2009;10
Casas lotéricas;2009;66
Clínicas e residências geriátricas;2009;4
Clubes sociais, esportivos e similares;2009;1
Coleta de resíduos não-perigosos;2009;25
Comércio a varejo de automóveis, camionetas e utilitários novos;2009;42
Comércio a varejo de automóveis, camionetas e utilitários usados;2009;216
Comércio a varejo de motocicletas e motonetas novas;2009;22
Comércio a varejo de motocicletas e motonetas usadas;2009;9
Comércio a varejo de peças e acessórios novos para veículos automotores;2009;933
Comércio a varejo de peças e acessórios para motocicletas e motonetas;2009;68
Comércio a varejo de peças e acessórios usados para veículos automotores;2009;44
Comércio a varejo de pneumáticos e câmaras-de-ar;2009;76
Comércio atacadista de água mineral;2009;6
Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR);2009;7
Comércio atacadista de algodão;2009;2
Comércio atacadista de alimentos para animais;2009;15
Comércio atacadista de animais vivos;2009;3
Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;2009;10
Comércio atacadista de artigos de armarinho;2009;6
Comércio atacadista de artigos de cama, mesa e banho;2009;5
Comércio atacadista de artigos de escritório e de papelaria;2009;14
Comércio atacadista de artigos de tapeçaria;2009;6
Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;2009;14
Comércio atacadista de aves abatidas e derivados;2009;1
Comércio atacadista de aves vivas e ovos;2009;2
Comércio atacadista de bebidas não especificadas anteriormente;2009;10
Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;2009;3
Comércio atacadista de bolsas, malas e artigos de viagem;2009;7
Comércio atacadista de bombas e compressores;2009;3
Comércio atacadista de café torrado, moído e solúvel;2009;1
Comércio atacadista de calçados;2009;4
Comércio atacadista de carnes bovinas e suínas e derivados;2009;11
Comércio atacadista de cereais e leguminosas beneficiados;2009;5
Comércio atacadista de cerveja, chope e refrigerante;2009;2
Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;2009;9
Comércio atacadista de cigarros, cigarrilhas e charutos;2009;1
Comércio atacadista de cimento;2009;2
Comércio atacadista de combustíveis de origem mineral em bruto;2009;1
Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;2009;8
Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);2009;1
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;2009;7
Comércio atacadista de cosméticos e produtos de perfumaria;2009;17
Comércio atacadista de embalagens;2009;58
Comércio atacadista de equipamentos de informática;2009;15
Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;2009;9
Comércio atacadista de farinhas, amidos e féculas;2009;3
Comércio atacadista de ferragens e ferramentas;2009;37
Comércio atacadista de filmes, CDs, DVDs, fitas e discos;2009;3
Comércio atacadista de fios e fibras beneficiados;2009;5
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2009;26
Comércio atacadista de gás liqüefeito de petróleo (GLP);2009;2
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;2009;14
Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas;2009;3
Comércio atacadista de leite e laticínios;2009;1
Comércio atacadista de livros, jornais e outras publicações;2009;7
Comércio atacadista de lubrificantes;2009;7
Comércio atacadista de lustres, luminárias e abajures;2009;4
Comércio atacadista de madeira e produtos derivados;2009;10
Comércio atacadista de máquinas e equipamentos para uso comercial;2009;12
Comércio atacadista de máquinas e equipamentos para uso industrial;2009;102
Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário;2009;8
Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar;2009;8
Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção;2009;4
Comércio atacadista de mármores e granitos;2009;9
Comércio atacadista de massas alimentícias;2009;1
Comércio atacadista de materiais de construção em geral;2009;21
Comércio atacadista de material elétrico;2009;20
Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2009;3
Comércio atacadista de medicamentos e drogas de uso humano;2009;8
Comércio atacadista de medicamentos e drogas de uso veterinário;2009;1
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;2009;8
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;2009;38
Comércio atacadista de móveis e artigos de colchoaria;2009;7
Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente;2009;43
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;2009;47
Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;2009;27
Comércio atacadista de pães, bolos, biscoitos e similares;2009;2
Comércio atacadista de papel e papelão em bruto;2009;9
Comércio atacadista de pescados e frutos do mar;2009;3
Comércio atacadista de produtos alimentícios em geral;2009;55
Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;2009;4
Comércio atacadista de produtos da extração mineral, exceto combustíveis;2009;5
Comércio atacadista de produtos de higiene pessoal;2009;6
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;2009;10
Comércio atacadista de produtos odontológicos;2009;7
Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;2009;50
Comércio atacadista de próteses e artigos de ortopedia;2009;3
Comércio atacadista de resíduos de papel e papelão;2009;30
Comércio atacadista de resíduos e sucatas metálicos;2009;65
Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão;2009;39
Comércio atacadista de resinas e elastômeros;2009;5
Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;2009;11
Comércio atacadista de sementes, flores, plantas e gramas;2009;12
Comércio atacadista de solventes;2009;1
Comércio atacadista de sorvetes;2009;3
Comércio atacadista de suprimentos para informática;2009;5
Comércio atacadista de tecidos;2009;5
Comércio atacadista de tintas, vernizes e similares;2009;8
Comércio atacadista de vidros, espelhos e vitrais;2009;7
Comércio atacadista especializado de materiais de construção não especificados anteriormente;2009;12
Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;2009;15
Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;2009;71
Comércio por atacado de automóveis, camionetas e utilitários novos e usados;2009;1
Comércio por atacado de caminhões novos e usados;2009;5
Comércio por atacado de peças e acessórios novos para veículos automotores;2009;84
Comércio por atacado de peças e acessórios para motocicletas e motonetas;2009;12
Comércio por atacado de pneumáticos e câmaras-de-ar;2009;8
Comércio sob consignação de veículos automotores;2009;5
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;2009;258
Comércio varejista de antigüidades;2009;4
Comercio varejista de artigos de armarinho;2009;199
Comércio varejista de artigos de caça, pesca e camping;2009;24
Comercio varejista de artigos de cama, mesa e banho;2009;54
Comércio varejista de artigos de colchoaria;2009;42
Comércio varejista de artigos de iluminação;2009;21
Comércio varejista de artigos de joalheria;2009;38
Comércio varejista de artigos de óptica;2009;164
Comércio varejista de artigos de papelaria;2009;325
Comércio varejista de artigos de relojoaria;2009;12
Comércio varejista de artigos de tapeçaria, cortinas e persianas;2009;52
Comércio varejista de artigos de viagem;2009;24
Comércio varejista de artigos do vestuário e acessórios;2009;1358
Comércio varejista de artigos esportivos;2009;54
Comércio varejista de artigos fotográficos e para filmagem;2009;64
Comércio varejista de artigos médicos e ortopédicos;2009;42
Comércio varejista de bebidas;2009;223
Comércio varejista de bicicletas e triciclos;2009;61
Comércio varejista de brinquedos e artigos recreativos;2009;62
Comércio varejista de cal, areia, pedra britada, tijolos e telhas;2009;35
Comércio varejista de calçados;2009;182
Comércio varejista de carnes - açougues;2009;218
Comércio varejista de combustíveis para veículos automotores;2009;196
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;2009;289
Comércio varejista de discos, CDs, DVDs e fitas;2009;24
Comércio varejista de doces, balas, bombons e semelhantes;2009;217
Comércio varejista de embarcações e outros veículos recreativos;2009;5
Comércio varejista de equipamentos para escritório;2009;26
Comércio varejista de ferragens e ferramentas;2009;357
Comércio varejista de fogos de artifício e artigos pirotécnicos;2009;3
Comércio varejista de gás liqüefeito de petróleo (GLP);2009;148
Comércio varejista de hortifrutigranjeiros;2009;178
Comércio varejista de jornais e revistas;2009;30
Comércio varejista de laticínios e frios;2009;47
Comércio varejista de livros;2009;60
Comércio varejista de lubrificantes;2009;18
Comércio varejista de madeira e artefatos;2009;117
Comércio varejista de materiais de construção em geral;2009;372
Comércio varejista de materiais de construção não especificados anteriormente;2009;534
Comércio varejista de materiais hidráulicos;2009;30
Comércio varejista de material elétrico;2009;166
Comércio varejista de medicamentos veterinários;2009;16
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;2009;5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;2009;856
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2009;122
Comércio varejista de mercadorias em lojas de conveniência;2009;4
Comércio varejista de móveis;2009;286
Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;2009;182
Comércio varejista de outros artigos usados;2009;28
Comércio varejista de outros produtos não especificados anteriormente;2009;735
Comércio varejista de pedras para revestimento;2009;6
Comércio varejista de plantas e flores naturais;2009;129
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;2009;255
Comércio varejista de produtos farmacêuticos homeopáticos;2009;4
Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;2009;39
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;2009;310
Comércio varejista de produtos saneantes domissanitários;2009;55
Comércio varejista de suvenires, bijuterias e artesanatos;2009;193
Comércio varejista de tecidos;2009;37
Comércio varejista de tintas e materiais para pintura;2009;120
Comércio varejista de vidros;2009;114
Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;2009;166
Comércio varejista especializado de equipamentos de telefonia e comunicação;2009;104
Comércio varejista especializado de equipamentos e suprimentos de informática;2009;447
Comércio varejista especializado de instrumentos musicais e acessórios;2009;24
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;2009;92
Comissaria de despachos;2009;6
Compra e venda de imóveis próprios;2009;51
Concessionárias de rodovias, pontes, túneis e serviços relacionados;2009;1
Condomínios residenciais para idosos;2009;2
Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;2009;372
Confecção de roupas íntimas;2009;53
Confecção de roupas profissionais, exceto sob medida;2009;19
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;2009;79
Confecção, sob medida, de roupas profissionais;2009;11
Construção de edifícios;2009;201
Construção de embarcações para esporte e lazer;2009;3
Construção de estações e redes de distribuição de energia elétrica;2009;2
Construção de estações e redes de telecomunicações;2009;4
Construção de instalações esportivas e recreativas;2009;1
Construção de obras-de-arte especiais;2009;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;2009;3
Construção de rodovias e ferrovias;2009;4
Consultoria em publicidade;2009;7
Consultoria em tecnologia da informação;2009;100
Cooperativas de crédito mútuo;2009;7
Correspondentes de instituições financeiras;2009;1
Corretagem na compra e venda e avaliação de imóveis;2009;36
Corretagem no aluguel de imóveis;2009;62
Corretoras de contratos de mercadorias;2009;1
Corretores e agentes de seguros, de planos de previdência complementar e de saúde;2009;225
Criação de animais de estimação;2009;2
Criação de asininos e muares;2009;1
Criação de aves, exceto galináceos;2009;1
Criação de bovinos para corte;2009;18
Criação de bovinos para leite;2009;32
Criação de eqüinos;2009;7
Criação de estandes para feiras e exposições;2009;2
Criação de frangos para corte;2009;4
Criação de outros animais não especificados anteriormente;2009;4
Criação de peixes em água doce;2009;5
Criação de suínos;2009;1
Cultivo de banana;2009;2
Cultivo de batata-inglesa;2009;4
Cultivo de eucalipto;2009;37
Cultivo de flores e plantas ornamentais;2009;37
Cultivo de frutas de lavoura permanente não especificadas anteriormente;2009;4
Cultivo de laranja;2009;2
Cultivo de mandioca;2009;4
Cultivo de manga;2009;1
Cultivo de maracujá;2009;1
Cultivo de milho;2009;10
Cultivo de morango;2009;1
Cultivo de mudas em viveiros florestais;2009;1
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;2009;1
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;2009;6
Cultivo de plantas para condimento, exceto pimenta-do-reino;2009;1
Cultivo de tomate rasteiro;2009;3
Cursos preparatórios para concursos;2009;3
Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;2009;4
Demolição de edifícios e outras estruturas;2009;4
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;2009;7
Desenvolvimento de programas de computador sob encomenda;2009;130
Desenvolvimento e licenciamento de programas de computador customizáveis;2009;12
Desenvolvimento e licenciamento de programas de computador não-customizáveis;2009;38
Design de interiores;2009;5
Discotecas, danceterias, salões de dança e similares;2009;5
Distribuição cinematográfica, de vídeo e de programas de televisão;2009;1
Distribuição de água por caminhões;2009;13
Edição de cadastros, listas e outros produtos gráficos;2009;7
Edição de jornais diários;2009;19
Edição de livros;2009;29
Edição de revistas;2009;13
Edição integrada à impressão de cadastros, listas e outros produtos gráficos;2009;41
Edição integrada à impressão de jornais diários;2009;1
Edição integrada à impressão de livros;2009;8
Educação infantil - creche;2009;18
Educação infantil - pré-escola;2009;157
Educação profissional de nível técnico;2009;7
Educação superior - graduação e pós-graduação;2009;1
Educação superior - graduação;2009;3
Educação superior - pós-graduação e extensão;2009;1
Emissão de vales-alimentação, vales-transporte e similares;2009;1
Ensino de arte e cultura não especificado anteriormente;2009;4
Ensino de dança;2009;4
Ensino de esportes;2009;12
Ensino de idiomas;2009;74
Ensino de música;2009;5
Ensino fundamental;2009;95
Ensino médio;2009;20
Envasamento e empacotamento sob contrato;2009;19
Estacionamento de veículos;2009;128
Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;2009;19
Estúdios cinematográficos;2009;3
Exploração de jogos de sinuca, bilhar e similares;2009;1
Exploração de jogos eletrônicos recreativos;2009;38
Extração de areia, cascalho ou pedregulho e beneficiamento associado;2009;4
Extração de argila e beneficiamento associado;2009;1
Extração de madeira em florestas plantadas;2009;3
Extração de minerais radioativos;2009;1
Extração de outros minerais não-metálicos não especificados anteriormente;2009;2
Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;2009;8
Fabricação de abrasivos;2009;3
Fabricação de acessórios do vestuário, exceto para segurança e proteção;2009;14
Fabricação de adesivos e selantes;2009;6
Fabricação de aditivos de uso industrial;2009;16
Fabricação de adubos e fertilizantes, exceto organo-minerais;2009;4
Fabricação de aeronaves;2009;1
Fabricação de águas envasadas;2009;2
Fabricação de alimentos e pratos prontos;2009;6
Fabricação de alimentos para animais;2009;1
Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;2009;10
Fabricação de aparelhos e equipamentos de medida, teste e controle;2009;12
Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;2009;15
Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda;2009;1
Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios;2009;1
Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios;2009;2
Fabricação de armas de fogo, outras armas e munições;2009;1
Fabricação de artefatos de borracha não especificados anteriormente;2009;49
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;2009;16
Fabricação de artefatos de cimento para uso na construção;2009;67
Fabricação de artefatos de cordoaria;2009;3
Fabricação de artefatos de couro não especificados anteriormente;2009;5
Fabricação de artefatos de fibrocimento para uso na construção;2009;1
Fabricação de artefatos de joalheria e ourivesaria;2009;3
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;2009;117
Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;2009;4
Fabricação de artefatos de material plástico para uso pessoal e doméstico;2009;47
Fabricação de artefatos de material plástico para usos industriais;2009;36
Fabricação de artefatos de tanoaria e de embalagens de madeira;2009;6
Fabricação de artefatos de tapeçaria;2009;9
Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;2009;1
Fabricação de artefatos diversos de madeira, exceto móveis;2009;15
Fabricação de artefatos para pesca e esporte;2009;5
Fabricação de artefatos têxteis para uso doméstico;2009;12
Fabricação de artigos de cutelaria;2009;1
Fabricação de artigos de metal para uso doméstico e pessoal;2009;25
Fabricação de artigos de serralheria, exceto esquadrias;2009;57
Fabricação de artigos de vidro;2009;13
Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;2009;5
Fabricação de artigos ópticos;2009;2
Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;2009;13
Fabricação de artigos pirotécnicos;2009;2
Fabricação de azulejos e pisos;2009;1
Fabricação de bancos e estofados para veículos automotores;2009;1
Fabricação de baterias e acumuladores para veículos automotores;2009;1
Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios;2009;6
Fabricação de bijuterias e artefatos semelhantes;2009;7
Fabricação de biscoitos e bolachas;2009;4
Fabricação de cabines, carrocerias e reboques para caminhões;2009;24
Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;2009;5
Fabricação de cal e gesso;2009;1
Fabricação de calçados de couro;2009;12
Fabricação de calçados de materiais não especificados anteriormente;2009;4
Fabricação de calçados de material sintético;2009;1
Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;2009;3
Fabricação de chapas e de embalagens de papelão ondulado;2009;26
Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia;2009;1
Fabricação de colchões;2009;3
Fabricação de componentes eletrônicos;2009;28
Fabricação de compressores para uso industrial, peças e acessórios;2009;2
Fabricação de conservas de frutas;2009;1
Fabricação de conservas de legumes e outros vegetais, exceto palmito;2009;5
Fabricação de conservas de palmito;2009;1
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;2009;36
Fabricação de cronômetros e relógios;2009;1
Fabricação de desinfestantes domissanitários;2009;2
Fabricação de elastômeros;2009;1
Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores;2009;2
Fabricação de embalagens de cartolina e papel-cartão;2009;7
Fabricação de embalagens de material plástico;2009;93
Fabricação de embalagens de papel;2009;25
Fabricação de embalagens de vidro;2009;1
Fabricação de embalagens metálicas;2009;13
Fabricação de equipamento bélico pesado, exceto veículos militares de combate;2009;1
Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos;2009;4
Fabricação de equipamentos de transporte não especificados anteriormente;2009;7
Fabricação de equipamentos e acessórios para segurança pessoal e profissional;2009;8
Fabricação de equipamentos e instrumentos ópticos, peças e acessórios;2009;2
Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;2009;6
Fabricação de equipamentos para sinalização e alarme;2009;4
Fabricação de equipamentos transmissores de comunicação, peças e acessórios;2009;2
Fabricação de escovas, pincéis e vassouras;2009;4
Fabricação de especiarias, molhos, temperos e condimentos;2009;5
Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;2009;8
Fabricação de esquadrias de metal;2009;58
Fabricação de estruturas metálicas;2009;14
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;2009;12
Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios;2009;2
Fabricação de farinha de milho e derivados, exceto óleos de milho;2009;2
Fabricação de ferramentas;2009;31
Fabricação de fibras artificiais e sintéticas;2009;2
Fabricação de fios, cabos e condutores elétricos isolados;2009;17
Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios;2009;3
Fabricação de formulários contínuos;2009;2
Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas, peças e acessórios;2009;5
Fabricação de fraldas descartáveis;2009;6
Fabricação de frutas cristalizadas, balas e semelhantes;2009;2
Fabricação de gelo comum;2009;1
Fabricação de geradores de corrente contínua e alternada, peças e acessórios;2009;1
Fabricação de impermeabilizantes, solventes e produtos afins;2009;5
Fabricação de instrumentos musicais, peças e acessórios;2009;5
Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório;2009;8
Fabricação de intermediários para fertilizantes;2009;2
Fabricação de laminados planos e tubulares de material plástico;2009;15
Fabricação de lâmpadas;2009;2
Fabricação de laticínios;2009;3
Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;2009;7
Fabricação de linhas para costurar e bordar;2009;1
Fabricação de luminárias e outros equipamentos de iluminação;2009;18
Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;2009;1
Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;2009;19
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;2009;6
Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios;2009;8
Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios;2009;13
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;2009;10
Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios;2009;6
Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios;2009;1
Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios;2009;3
Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores;2009;6
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;2009;55
Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta;2009;13
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios;2009;10
Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;2009;2
Fabricação de máquinas-ferramenta, peças e acessórios;2009;31
Fabricação de massas alimentícias;2009;7
Fabricação de materiais para medicina e odontologia;2009;6
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;2009;10
Fabricação de material elétrico para instalações em circuito de consumo;2009;4
Fabricação de medicamentos alopáticos para uso humano;2009;5
Fabricação de medicamentos para uso veterinário;2009;4
Fabricação de meias;2009;5
