,IP Address,LoggedInFlag,VisitPageFlag,Group
93,0.12.146.6,1,0,Test
94,0.12.157.4,0,0,Control
95,0.12.169.7,0,1,Control
96,0.12.17.7,0,0,Control
97,0.12.178.4,1,0,Control
98,0.12.190.6,0,0,Control
99,0.12.210.9,0,0,Control
100,0.12.216.4,1,0,Test
101,0.12.229.9,0,0,Control
102,0.12.235.9,1,0,Control
103,0.12.240.3,1,0,Control
104,0.12.245.6,1,0,Control
105,0.12.252.4,1,0,Control
106,0.12.27.6,0,0,Control
107,0.12.29.9,0,0,Control
108,0.12.31.1,0,0,Control
109,0.12.34.8,1,0,Test
110,0.12.83.7,1,0,Control
111,0.12.9.7,1,0,Control
112,0.12.99.5,1,0,Test
113,0.13.101.7,1,0,Control
114,0.13.12.4,0,0,Control
115,0.13.157.9,1,0,Control
116,0.13.229.1,0,0,Control
117,0.13.247.4,1,0,Test
118,0.13.254.7,1,0,Test
119,0.13.37.8,1,0,Test
120,0.13.4.5,0,1,Test
121,0.13.41.1,1,0,Test
122,0.13.81.1,1,0,Control
123,0.13.91.6,0,1,Control
124,0.14.1.3,1,0,Test
125,0.14.10.5,1,0,Control
126,0.14.119.9,1,0,Control
127,0.14.12.5,1,0,Control
128,0.14.124.3,1,0,Control
129,0.14.144.9,0,0,Test
130,0.14.153.1,0,0,Control
131,0.14.164.4,0,0,Test
132,0.14.201.6,0,1,Test
133,0.14.220.2,1,0,Test
134,0.14.221.6,1,0,Control
135,0.14.230.6,0,0,Control
136,0.14.236.1,0,0,Test
137,0.14.24.8,0,1,Control
138,0.14.27.2,0,0,Control
139,0.14.37.8,0,0,Control
140,0.14.52.5,1,0,Control
141,0.14.77.4,0,1,Control
142,0.14.8.1,0,0,Control
143,0.15.109.7,1,0,Control
144,0.15.110.3,0,0,Test
145,0.15.117.1,0,1,Test
146,0.15.119.5,1,0,Control
147,0.15.140.2,0,0,Control
148,0.15.150.3,1,0,Test
149,0.15.164.7,1,0,Control
150,0.15.168.3,0,0,Test
151,0.15.181.3,1,0,Control
152,0.15.188.1,1,0,Control
153,0.15.201.9,1,0,Test
154,0.15.23.4,0,0,Control
155,0.15.244.9,0,0,Control
156,0.15.25.9,1,0,Test
157,0.15.29.6,0,0,Test
158,0.15.3.8,1,0,Control
159,0.15.47.6,1,0,Control
160,0.15.61.2,1,0,Test
161,0.15.69.9,1,0,Control
162,0.15.79.5,0,1,Control
163,0.16.102.8,1,0,Control
164,0.16.148.2,0,0,Control
165,0.16.156.3,1,0,Test
166,0.16.164.5,1,0,Control
167,0.16.175.9,0,0,Test
168,0.16.188.5,1,0,Control
169,0.16.200.3,0,1,Test
170,0.16.208.8,0,0,Control
171,0.16.220.2,0,0,Control
172,0.16.33.5,1,0,Control
173,0.16.42.8,1,0,Control
174,0.16.48.7,1,0,Control
175,0.16.63.1,1,0,Control
176,0.16.72.6,0,0,Control
177,0.16.76.7,1,0,Control
178,0.16.81.8,0,1,Control
179,0.16.87.8,1,0,Control
180,0.2.112.1,1,0,Control
181,0.2.143.5,0,0,Control
182,0.2.154.3,0,0,Control
183,0.2.176.4,0,0,Test
184,0.2.18.2,1,0,Control
185,0.2.188.1,0,0,Test
186,0.2.189.4,0,0,Control
187,0.2.189.5,1,0,Control
188,0.2.195.5,0,0,Test
189,0.2.214.1,0,0,Control
190,0.2.229.8,1,0,Control
191,0.2.236.2,1,0,Test
192,0.2.239.3,0,0,Control
193,0.2.245.9,1,0,Test
194,0.2.32.2,0,0,Test
195,0.2.40.4,0,1,Test
196,0.2.46.6,1,0,Test
197,0.2.57.1,1,0,Control
198,0.2.61.1,0,0,Control
199,0.2.64.6,0,0,Control
200,0.2.7.4,0,0,Test
201,0.2.87.9,1,0,Control
202,0.2.94.3,1,0,Control
203,0.3.16.6,1,0,Control
204,0.3.168.2,1,0,Control
205,0.3.174.9,1,0,Test
206,0.3.187.7,0,0,Control
207,0.3.204.7,0,1,Control
208,0.3.21.5,0,0,Test
209,0.3.240.9,1,0,Test
210,0.3.243.8,0,0,Control
211,0.3.33.6,1,0,Test
212,0.3.68.5,1,0,Test
213,0.3.87.2,1,0,Control
214,0.3.95.8,1,0,Test
215,0.4.107.8,1,0,Control
216,0.4.119.6,0,1,Test
217,0.4.140.8,0,0,Control
218,0.4.147.8,1,0,Control
219,0.4.151.2,1,0,Control
220,0.4.164.4,0,0,Test
221,0.4.165.4,1,0,Control
222,0.4.177.3,0,0,Test
223,0.4.177.5,0,1,Test
224,0.4.195.9,1,0,Control
225,0.4.197.5,0,0,Control
226,0.4.2.9,0,0,Control
227,0.4.220.5,1,0,Test
228,0.4.23.5,1,0,Control
229,0.4.244.3,1,0,Test
230,0.4.249.1,1,0,Control
231,0.4.249.7,1,0,Test
232,0.4.33.5,1,0,Control
233,0.4.57.9,1,0,Control
234,0.4.62.7,1,0,Control
235,0.4.66.6,0,0,Control
236,0.4.72.8,0,1,Control
237,0.4.79.6,0,0,Control
238,0.4.9.7,1,0,Test
239,0.4.97.7,1,0,Control
240,0.5.108.7,1,0,Control
241,0.5.118.8,0,0,Test
242,0.5.119.5,1,0,Test
243,0.5.140.3,0,0,Test
244,0.5.149.3,0,0,Test
245,0.5.154.7,0,0,Test
246,0.5.168.4,0,0,Test
247,0.5.198.8,0,0,Control
248,0.5.201.4,1,0,Control
249,0.5.205.9,0,0,Test
250,0.5.221.3,1,0,Control
251,0.5.226.3,1,0,Control
252,0.5.236.5,1,0,Control
253,0.5.24.5,1,0,Test
254,0.5.26.6,0,0,Control
255,0.5.29.7,0,0,Control
256,0.5.35.5,0,1,Control
257,0.5.57.2,1,0,Test
258,0.5.76.8,1,0,Test
259,0.5.79.1,0,0,Test
260,0.5.80.6,0,0,Test
261,0.6.101.1,0,1,Test
262,0.6.126.5,1,0,Test
263,0.6.137.2,1,0,Control
264,0.6.139.4,1,0,Test
265,0.6.140.7,1,0,Control
266,0.6.167.8,1,0,Test
267,0.6.180.2,1,0,Control
268,0.6.183.1,0,0,Test
269,0.6.198.3,1,0,Control
270,0.6.198.6,1,0,Test
271,0.6.205.8,0,1,Test
272,0.6.210.6,0,0,Control
273,0.6.215.4,1,0,Test
274,0.6.224.2,0,0,Control
275,0.6.231.9,1,0,Test
276,0.6.235.2,1,0,Control
277,0.6.235.7,0,0,Control
278,0.6.251.9,0,0,Test
279,0.6.28.2,0,0,Control
280,0.6.29.3,0,1,Test
281,0.6.38.1,1,0,Test
282,0.6.4.2,1,0,Control
283,0.6.54.3,0,0,Control
284,0.6.61.6,1,0,Control
285,0.6.62.9,0,1,Control
286,0.6.91.3,0,0,Control
287,0.7.0.9,0,0,Test
288,0.7.103.5,0,1,Test
289,0.7.113.1,1,0,Control
290,0.7.123.4,0,0,Control
291,0.7.156.4,1,0,Control
292,0.7.165.1,1,0,Control
293,0.7.168.3,1,0,Control
294,0.7.185.9,1,0,Test
295,0.7.205.2,0,0,Test
296,0.7.225.9,1,0,Control
297,0.7.230.2,0,0,Control
298,0.7.231.2,1,0,Control
299,0.7.231.3,0,1,Control
300,0.7.32.6,0,0,Control
301,0.7.33.6,1,0,Control
302,0.7.43.7,1,0,Control
303,0.7.44.9,0,0,Test
304,0.7.51.1,0,0,Test
305,0.7.55.9,0,0,Control
306,0.7.7.7,0,0,Control
307,0.7.78.8,1,0,Control
308,0.7.89.2,0,1,Control
309,0.7.92.3,0,0,Control
310,0.7.93.4,0,0,Control
311,0.7.93.7,0,0,Control
312,0.7.97.9,1,0,Control
313,0.8.111.8,1,0,Control
314,0.8.118.3,1,0,Control
315,0.8.126.1,0,0,Test
316,0.8.131.5,0,0,Test
317,0.8.136.3,1,0,Control
318,0.8.14.2,0,0,Control
319,0.8.141.4,0,0,Control
320,0.8.155.5,0,1,Control
321,0.8.183.3,0,0,Test
322,0.8.184.1,0,0,Control
323,0.8.199.2,0,0,Test
324,0.8.199.3,0,0,Test
325,0.8.203.7,0,0,Control
326,0.8.204.6,0,1,Test
327,0.8.207.3,0,0,Control
328,0.8.218.1,1,0,Control
329,0.8.218.6,0,1,Control
330,0.8.228.4,1,0,Control
331,0.8.244.7,0,0,Control
332,0.8.32.7,0,0,Control
333,0.8.49.5,0,0,Control
334,0.8.50.2,0,0,Control
335,0.8.54.3,1,0,Control
336,0.8.65.7,1,0,Test
337,0.8.78.1,1,0,Control
338,0.8.83.2,1,0,Control
339,0.8.90.8,0,0,Control
340,0.8.94.4,0,0,Test
341,0.9.109.7,0,1,Control
342,0.9.138.1,0,0,Control
343,0.9.15.7,0,0,Test
344,0.9.163.8,0,0,Test
345,0.9.182.3,0,0,Control
346,0.9.185.6,0,0,Control
347,0.9.19.5,0,0,Test
348,0.9.193.8,1,0,Control
349,0.9.212.6,0,1,Test
350,0.9.227.7,0,1,Test
351,0.9.233.5,1,0,Control
352,0.9.249.1,0,0,Test
353,0.9.250.7,0,0,Test
354,0.9.43.8,1,0,Test
355,0.9.56.3,1,0,Control
356,0.9.56.4,0,0,Test
357,0.9.66.6,0,0,Control
358,0.9.82.7,1,0,Control
359,0.9.86.3,0,0,Control
360,0.9.98.3,1,0,Test
361,1.0.118.7,1,0,Test
362,1.0.134.4,1,0,Control
363,1.0.188.7,0,1,Control
364,1.0.192.9,0,1,Test
365,1.0.199.1,1,0,Test
366,1.0.201.8,0,0,Control
367,1.0.227.4,0,0,Control
368,1.0.228.9,0,0,Control
369,1.0.246.1,0,1,Control
370,1.0.252.4,0,0,Test
371,1.0.40.2,0,0,Control
372,1.0.5.7,0,0,Test
373,1.0.59.3,0,0,Test
374,1.0.77.8,1,0,Control
375,1.0.94.8,1,0,Control
376,1.1.125.6,0,0,Control
377,1.1.171.8,1,0,Test
378,1.1.176.5,1,0,Control
379,1.1.180.7,0,0,Control
380,1.1.189.7,1,0,Test
381,1.1.198.7,0,0,Control
382,1.1.207.6,0,0,Control
383,1.1.215.3,0,0,Control
384,1.1.52.6,1,0,Control
385,1.1.53.3,0,0,Test
386,1.1.58.4,0,0,Control
387,1.1.60.3,1,0,Control
388,1.1.61.9,0,0,Control
389,1.1.76.3,0,0,Control
390,1.1.92.1,1,0,Control
391,1.1.95.4,1,0,Test
392,1.10.104.4,0,0,Test
393,1.10.131.1,1,0,Control
394,1.10.133.4,0,0,Test
395,1.10.14.5,0,0,Test
396,1.10.168.4,0,0,Control
397,1.10.182.3,0,1,Control
398,1.10.187.9,1,0,Test
399,1.10.204.9,0,0,Control
400,1.10.216.2,1,0,Control
401,1.10.238.8,1,0,Control
402,1.10.250.3,1,0,Control
403,1.10.54.7,1,0,Test
404,1.10.58.5,1,0,Control
405,1.10.83.3,0,0,Test
406,1.10.88.9,1,0,Control
407,1.11.101.5,0,0,Control
408,1.11.122.4,1,0,Control
409,1.11.138.8,1,0,Control
410,1.11.144.1,0,0,Test
411,1.11.160.7,0,0,Control
412,1.11.177.8,1,0,Test
413,1.11.20.3,0,0,Control
414,1.11.201.1,1,0,Control
415,1.11.207.7,0,0,Test
416,1.11.211.4,0,1,Test
417,1.11.216.2,1,0,Control
418,1.11.230.7,0,0,Control
419,1.11.247.1,1,0,Test
420,1.11.25.6,0,0,Control
421,1.11.250.3,1,0,Test
422,1.11.253.7,0,0,Control
423,1.11.35.5,1,0,Control
424,1.11.57.9,0,1,Control
425,1.11.62.3,0,0,Control
426,1.11.64.9,0,0,Test
427,1.11.67.3,1,0,Test
428,1.11.71.5,1,0,Control
429,1.11.74.5,1,0,Test
430,1.11.79.2,0,1,Control
431,1.11.87.9,0,0,Control
432,1.11.95.1,1,0,Test
433,1.12.104.4,0,1,Control
434,1.12.128.2,0,0,Control
435,1.12.137.7,0,0,Control
436,1.12.137.9,1,0,Control
437,1.12.141.1,0,0,Control
438,1.12.143.3,0,0,Test
439,1.12.150.3,0,0,Test
440,1.12.157.1,0,0,Control
441,1.12.174.7,0,0,Control
442,1.12.192.7,1,0,Control
443,1.12.197.2,1,0,Control
444,1.12.203.3,0,0,Test
445,1.12.209.9,0,0,Test
446,1.12.22.3,1,0,Control
447,1.12.221.2,1,0,Control
448,1.12.245.1,1,0,Control
449,1.12.25.9,0,1,Test
450,1.12.29.5,0,0,Control
451,1.12.36.2,0,0,Control
452,1.12.40.9,0,0,Control
453,1.12.50.1,0,0,Test
454,1.12.53.1,0,0,Test
455,1.12.61.5,0,0,Test
456,1.12.64.3,1,0,Test
457,1.12.74.6,0,0,Test
458,1.12.97.5,1,0,Control
459,1.13.116.7,1,0,Control
460,1.13.129.8,1,0,Control
461,1.13.137.9,1,0,Test
462,1.13.138.1,1,0,Control
463,1.13.151.8,0,0,Control
464,1.13.151.9,1,0,Test
465,1.13.172.8,1,0,Control
466,1.13.200.8,1,0,Control
467,1.13.212.4,0,0,Control
468,1.13.219.2,1,0,Control
469,1.13.223.7,0,0,Control
470,1.13.235.3,1,0,Control
471,1.13.242.9,1,0,Control
472,1.13.245.8,1,0,Control
473,1.13.38.2,1,0,Control
474,1.13.40.5,0,0,Control
475,1.13.82.1,0,0,Control
476,1.13.83.2,0,1,Test
477,1.13.88.5,1,0,Control
478,1.14.1.6,0,0,Control
479,1.14.131.3,1,0,Control
480,1.14.141.4,0,0,Control
481,1.14.154.6,0,0,Control
482,1.14.155.5,0,0,Control
483,1.14.16.6,0,1,Control
484,1.14.169.6,0,1,Control
485,1.14.17.6,0,0,Control
486,1.14.179.5,0,0,Test
487,1.14.19.2,0,1,Test
488,1.14.194.1,1,0,Test
489,1.14.20.6,0,0,Control
490,1.14.202.5,0,0,Control
491,1.14.203.1,1,0,Control
492,1.14.221.9,1,0,Control
493,1.14.228.5,1,0,Test
494,1.14.255.8,0,0,Test
495,1.14.26.4,1,0,Test
496,1.14.3.8,1,0,Test
497,1.14.38.5,0,0,Control
498,1.14.55.9,1,0,Test
499,1.14.56.1,0,1,Control
500,1.14.61.1,0,0,Control
501,1.14.73.2,0,0,Control
502,1.15.111.3,0,0,Control
503,1.15.114.7,1,0,Control
504,1.15.128.4,1,0,Test
505,1.15.131.4,0,1,Test
506,1.15.139.6,0,1,Test
507,1.15.140.1,1,0,Control
508,1.15.147.9,1,0,Control
509,1.15.153.1,0,0,Test
510,1.15.163.2,1,0,Control
511,1.15.174.8,0,0,Control
512,1.15.178.4,1,0,Test
513,1.15.20.3,0,0,Test
514,1.15.201.8,1,0,Control
515,1.15.205.5,1,0,Control
516,1.15.212.3,1,0,Control
517,1.15.223.7,1,0,Control
518,1.15.242.1,0,0,Control
519,1.15.25.4,1,0,Control
520,1.15.255.8,0,1,Test
521,1.15.36.8,1,0,Test
522,1.15.47.2,0,0,Control
523,1.15.63.8,1,0,Control
524,1.15.80.3,0,0,Test
525,1.15.83.4,1,0,Test
526,1.15.89.4,0,1,Control
527,1.16.106.5,0,0,Control
528,1.16.129.7,1,0,Control
529,1.16.136.5,0,0,Test
530,1.16.141.4,1,0,Control
531,1.16.142.1,1,0,Control
532,1.16.142.2,1,0,Test
533,1.16.171.9,1,0,Control
534,1.16.178.5,1,0,Test
535,1.16.180.7,0,1,Test
536,1.16.198.2,1,0,Test
537,1.16.20.5,1,0,Control
538,1.16.229.8,1,0,Control
539,1.16.232.7,1,0,Test
540,1.16.251.4,0,0,Test
541,1.16.59.1,0,0,Test
542,1.16.73.5,1,0,Control
543,1.16.78.3,0,0,Control
544,1.16.80.2,1,0,Control
545,1.16.88.7,0,0,Control
546,1.2.108.5,0,1,Test
547,1.2.11.8,0,0,Control
548,1.2.116.1,0,1,Control
549,1.2.128.1,1,0,Control
550,1.2.129.1,1,0,Control
551,1.2.129.9,0,0,Control
552,1.2.145.2,1,0,Control
553,1.2.151.9,0,0,Test
554,1.2.171.4,0,0,Test
555,1.2.174.8,0,0,Control
556,1.2.185.2,1,0,Control
557,1.2.189.8,0,0,Test
558,1.2.193.6,1,0,Control
559,1.2.195.6,0,0,Control
560,1.2.21.1,0,0,Control
561,1.2.21.1,1,0,Control
562,1.2.226.4,1,0,Control
563,1.2.246.5,1,0,Control
564,1.2.248.3,1,0,Control
565,1.2.255.9,1,0,Control
566,1.2.32.3,0,1,Test
567,1.2.41.8,1,0,Control
568,1.2.44.6,1,0,Test
569,1.2.46.7,0,0,Test
570,1.2.53.9,1,0,Control
571,1.2.6.1,0,0,Test
572,1.2.91.1,0,0,Test
573,1.2.92.1,0,0,Test
574,1.2.92.2,1,0,Control
575,1.2.92.8,1,0,Test
576,1.2.96.4,1,0,Control
577,1.3.11.5,0,0,Test
578,1.3.117.7,1,0,Control
579,1.3.134.5,0,0,Test
580,1.3.137.7,0,0,Control
581,1.3.145.5,0,0,Test
582,1.3.152.2,0,0,Control
583,1.3.171.3,1,0,Test
584,1.3.172.6,0,0,Test
585,1.3.214.4,1,0,Control
586,1.3.255.8,1,0,Control
587,1.3.36.6,1,0,Control
588,1.3.44.8,0,0,Control
589,1.3.51.8,1,0,Test
590,1.3.6.1,1,0,Test
591,1.3.64.6,0,0,Control
592,1.3.77.5,0,0,Control
593,1.3.94.3,0,0,Control
594,1.4.0.4,0,1,Test
595,1.4.108.4,0,0,Control
596,1.4.12.2,1,0,Test
597,1.4.138.4,1,0,Control
598,1.4.142.4,0,1,Test
599,1.4.16.6,1,0,Control
600,1.4.163.3,0,0,Control
601,1.4.166.5,1,0,Test
602,1.4.17.3,0,0,Test
603,1.4.188.3,1,0,Test
604,1.4.220.7,0,0,Test
605,1.4.227.4,1,0,Control
606,1.4.228.1,1,0,Control
607,1.4.241.2,1,0,Control
608,1.4.36.3,0,0,Control
609,1.4.39.8,1,0,Control
610,1.4.43.5,1,0,Control
611,1.4.5.5,1,0,Control
612,1.4.75.1,1,0,Control
613,1.4.80.9,1,0,Test
614,1.4.97.1,1,0,Control
615,1.5.100.7,1,0,Test
616,1.5.116.5,1,0,Control
617,1.5.122.1,0,0,Test
618,1.5.136.4,1,0,Control
619,1.5.14.8,0,0,Control
620,1.5.141.7,0,0,Control
621,1.5.149.9,0,0,Control
622,1.5.161.6,1,0,Control
623,1.5.196.6,1,0,Test
624,1.5.203.7,1,0,Test
625,1.5.214.3,1,0,Control
626,1.5.219.8,0,0,Test
627,1.5.224.1,0,1,Test
628,1.5.226.1,1,0,Control
629,1.5.239.9,1,0,Test
630,1.5.38.8,0,0,Test
631,1.5.39.9,1,0,Control
632,1.5.4.4,0,0,Test
633,1.5.75.4,0,0,Control
634,1.5.92.6,0,0,Control
635,1.5.97.6,0,0,Control
636,1.6.119.9,1,0,Control
637,1.6.12.1,0,1,Control
638,1.6.120.6,1,0,Control
639,1.6.124.2,0,0,Test
640,1.6.131.3,0,0,Control
641,1.6.151.6,1,0,Control
642,1.6.159.9,0,0,Control
643,1.6.167.9,1,0,Test
644,1.6.174.8,1,0,Control
645,1.6.177.9,1,0,Control
646,1.6.185.8,1,0,Control
647,1.6.189.2,0,1,Control
648,1.6.2.4,1,0,Control
649,1.6.210.9,1,0,Control
650,1.6.217.2,1,0,Control
651,1.6.222.9,0,0,Test
652,1.6.250.3,0,0,Control
653,1.6.28.1,1,0,Test
654,1.6.33.9,1,0,Control
655,1.6.38.9,0,0,Test
656,1.6.61.2,1,0,Control
657,1.6.65.6,1,0,Test
658,1.6.68.7,0,0,Test
659,1.6.70.7,1,0,Control
660,1.6.71.4,0,1,Control
661,1.6.83.9,0,0,Control
662,1.6.89.6,1,0,Control
663,1.7.124.1,0,1,Test
664,1.7.124.2,0,0,Test
665,1.7.124.9,1,0,Control
666,1.7.134.9,1,0,Test
667,1.7.147.4,0,0,Test
668,1.7.147.9,0,0,Test
669,1.7.153.8,1,0,Test
670,1.7.166.1,1,0,Test
671,1.7.185.8,0,0,Control
672,1.7.205.2,0,0,Control
673,1.7.208.3,1,0,Control
674,1.7.213.5,1,0,Test
675,1.7.22.3,1,0,Test
676,1.7.241.1,1,0,Control
677,1.7.250.7,0,0,Control
678,1.7.27.6,1,0,Control
679,1.7.32.7,0,0,Control
680,1.7.43.1,0,0,Control
681,1.7.52.8,1,0,Control
682,1.7.61.9,1,0,Control
683,1.7.67.5,0,1,Control
684,1.7.81.8,0,1,Test
685,1.7.83.4,1,0,Control
686,1.7.99.4,0,0,Control
687,1.8.102.9,0,0,Control
688,1.8.104.6,1,0,Test
689,1.8.107.3,0,1,Test
690,1.8.116.1,1,0,Control
691,1.8.120.4,1,0,Control
692,1.8.125.9,0,0,Control
693,1.8.13.5,1,0,Control
694,1.8.150.9,0,0,Control
695,1.8.160.9,0,0,Control
696,1.8.204.9,1,0,Test
697,1.8.210.4,1,0,Control
698,1.8.211.4,1,0,Test
699,1.8.218.2,1,0,Control
700,1.8.227.9,0,0,Control
701,1.8.239.8,1,0,Test
702,1.8.240.6,1,0,Control
703,1.8.241.8,1,0,Control
704,1.8.242.5,1,0,Test
705,1.8.243.9,0,1,Test
706,1.8.31.9,1,0,Control
707,1.8.35.7,1,0,Control
708,1.8.41.5,0,0,Test
709,1.8.47.4,1,0,Control
710,1.8.53.5,0,0,Control
711,1.8.54.9,0,1,Test
712,1.8.80.9,0,0,Control
713,1.8.82.1,1,0,Test
714,1.9.113.4,1,0,Test
715,1.9.118.7,1,0,Test
716,1.9.121.8,1,0,Control
717,1.9.151.5,0,0,Test
718,1.9.157.9,1,0,Control
719,1.9.202.2,0,1,Control
720,1.9.215.7,1,0,Control
721,1.9.23.4,1,0,Control
722,1.9.233.8,0,1,Test
723,1.9.235.9,1,0,Control
724,1.9.244.4,0,0,Control
725,1.9.253.2,0,1,Control
726,1.9.41.2,0,0,Control
727,1.9.44.8,1,0,Control
728,1.9.46.4,0,0,Control
729,1.9.56.1,0,0,Control
730,1.9.89.5,1,0,Test
731,1.9.9.2,0,0,Control
732,1.9.9.2,1,0,Control
733,1.9.95.9,1,0,Control
734,10.0.101.2,0,0,Test
735,10.0.125.9,0,0,Control
736,10.0.135.2,0,0,Test
737,10.0.139.3,1,0,Test
738,10.0.143.7,0,1,Test
739,10.0.164.4,0,1,Test
740,10.0.178.1,0,0,Test
741,10.0.182.3,1,0,Control
742,10.0.241.8,0,0,Control
743,10.0.25.5,0,0,Test
744,10.0.38.2,1,0,Control
745,10.0.39.6,0,0,Control
746,10.0.43.1,1,0,Control
747,10.0.61.5,1,0,Control
748,10.0.64.1,1,0,Test
749,10.1.0.5,1,0,Test
750,10.1.10.2,1,0,Control
751,10.1.10.6,1,0,Control
752,10.1.113.3,1,0,Control
753,10.1.126.7,1,0,Control
754,10.1.13.6,0,1,Control
755,10.1.130.4,0,0,Test
756,10.1.14.6,1,0,Test
757,10.1.165.8,1,0,Test
758,10.1.181.1,1,0,Control
759,10.1.190.7,1,0,Test
760,10.1.193.1,1,0,Control
761,10.1.201.7,0,0,Test
762,10.1.213.6,0,0,Control
763,10.1.220.9,0,1,Control
764,10.1.236.4,0,0,Test
765,10.1.239.5,1,0,Control
766,10.1.243.9,0,0,Control
767,10.1.247.2,0,1,Control
768,10.1.25.6,0,1,Control
769,10.1.251.9,1,0,Test
770,10.1.47.2,0,0,Control
771,10.1.52.6,1,0,Test
772,10.1.55.4,0,1,Control
773,10.1.9.5,1,0,Control
774,10.10.102.3,1,0,Test
775,10.10.102.5,1,0,Control
776,10.10.112.1,0,0,Control
777,10.10.136.4,0,0,Test
778,10.10.160.9,0,1,Test
779,10.10.165.9,1,0,Test
780,10.10.166.8,1,0,Test
781,10.10.169.1,0,0,Control
782,10.10.172.4,0,0,Test
783,10.10.189.1,0,0,Control
784,10.10.210.4,1,0,Test
785,10.10.215.8,1,0,Test
786,10.10.221.9,0,0,Control
787,10.10.3.1,0,0,Control
788,10.10.48.1,1,0,Control
789,10.10.48.9,1,0,Control
790,10.10.49.3,1,0,Control
791,10.10.5.2,1,0,Control
792,10.10.67.1,0,0,Control
793,10.10.68.6,1,0,Control
794,10.10.76.9,0,1,Control
795,10.10.82.3,0,0,Control
796,10.10.99.8,1,0,Control
797,10.11.104.2,1,0,Control
798,10.11.114.8,0,0,Control
799,10.11.122.2,0,1,Test
800,10.11.133.3,1,0,Control
801,10.11.136.5,0,0,Test
802,10.11.137.4,0,1,Control
803,10.11.143.7,0,1,Control
804,10.11.154.2,1,0,Control
805,10.11.175.8,1,0,Control
806,10.11.19.9,0,0,Control
807,10.11.195.5,1,0,Control
808,10.11.198.3,1,0,Test
809,10.11.205.2,1,0,Control
810,10.11.208.7,0,0,Test
811,10.11.22.9,0,0,Test
812,10.11.230.5,1,0,Test
813,10.11.237.1,0,0,Test
814,10.11.240.3,1,0,Test
815,10.11.249.6,1,0,Control
816,10.11.29.7,1,0,Test
817,10.11.49.3,1,0,Test
818,10.11.53.6,0,0,Control
819,10.11.65.2,1,0,Control
